texto,label
"Excelente atendimento, fui muito bem tratado.",1
Produto chegou antes do prazo e em perfeitas condições.,1
"Superou minhas expectativas, parabéns!",1
"O filme é incrível, recomendo muito!",1
Fiquei muito satisfeito com a compra.,1
"Tudo funcionou perfeitamente, nota 10.",1
"Adorei a experiência, voltarei com certeza.",1
Serviço rápido e de qualidade.,1
"Muito feliz com o resultado, obrigado!",1
"Recomendo para todos, vale cada centavo.",1
"Péssimo atendimento, não resolveram meu problema.",0
Produto veio com defeito e ninguém respondeu meu e-mail.,0
"Demorou demais para entregar, não gostei.",0
"Não funcionou como esperado, decepção total.",0
Atendimento demorado e sem solução.,0
"Me arrependi da compra, fraco demais.",0
Veio errado e ainda cobraram a mais.,0
"Qualidade horrível, parece de plástico barato.",0
Nunca mais compro com essa loja.,0
Serviço mal feito e caro.,0
