texto,label
Serviço mal feito e caro.,0
"Muito feliz com o resultado, obrigado!",1
"Muito feliz com o resultado, obrigado!",1
Veio errado e ainda cobraram a mais.,0
"Qualidade horrível, parece de plástico barato.",0
Infelizmente o produto não correspondeu às minhas expectativas.,0
Fiquei muito satisfeito com a compra.,1
"Não funcionou como esperado, decepção total.",0
Atendimento demorado e sem solução.,0
"Serviço de péssima qualidade, não vale a pena.",0
Produto veio com defeito e ninguém respondeu meu e-mail.,0
"Recomendo totalmente, o produto é perfeito.",1
"Recomendo para todos, vale cada centavo.",1
Demorou demais para chegar e a qualidade não é boa.,0
Veio errado e ainda cobraram a mais.,0
Fiquei muito satisfeito com o atendimento e a entrega!,1
"Muito feliz com o resultado, obrigado!",1
"Péssimo atendimento, não resolveram meu problema.",0
Demorou demais para chegar e a qualidade não é boa.,0
Produto chegou antes do prazo e em perfeitas condições.,1
Fiquei muito satisfeito com a compra.,1
O produto chegou com defeito e o suporte não ajudou em nada.,0
Demorou demais para chegar e a qualidade não é boa.,0
Produto chegou antes do prazo e em perfeitas condições.,1
Infelizmente o produto não correspondeu às minhas expectativas.,0
"Produto com falhas, não valeu o preço.",0
"Excelente experiência de compra, com certeza comprarei novamente.",1
Produto chegou antes do prazo e em perfeitas condições.,1
Fiquei muito satisfeito com a compra.,1
"Qualidade horrível, parece de plástico barato.",0
"Demorou demais para entregar, não gostei.",0
"Superou minhas expectativas, parabéns!",1
"Superou minhas expectativas, parabéns!",1
Atendimento demorado e sem solução.,0
Serviço rápido e de qualidade.,1
Nunca mais compro com essa loja.,0
"Qualidade horrível, parece de plástico barato.",0
"Recomendo para todos, vale cada centavo.",1
Atendimento demorado e sem solução.,0
"Serviço de péssima qualidade, não vale a pena.",0
Nunca mais compro com essa loja.,0
"Superou minhas expectativas, parabéns!",1
"Excelente experiência de compra, com certeza comprarei novamente.",1
"Me arrependi da compra, fraco demais.",0
"Recomendo totalmente, o produto é perfeito.",1
Fiquei muito satisfeito com o atendimento e a entrega!,1
"Recomendo para todos, vale cada centavo.",1
Foi um ótimo atendimento e a entrega foi super rápida.,1
"O filme é incrível, recomendo muito!",1
Fiquei muito satisfeito com o atendimento e a entrega!,1
Infelizmente o produto não correspondeu às minhas expectativas.,0
"Não funcionou como esperado, decepção total.",0
Demorou demais para chegar e a qualidade não é boa.,0
"Demorou demais para entregar, não gostei.",0
"Produto de ótima qualidade, estou muito feliz com a compra.",1
"Produto de ótima qualidade, estou muito feliz com a compra.",1
Atendimento demorado e sem solução.,0
Veio errado e ainda cobraram a mais.,0
Foi um ótimo atendimento e a entrega foi super rápida.,1
O produto chegou com defeito e o suporte não ajudou em nada.,0
"Recomendo para todos, vale cada centavo.",1
"Adorei a experiência, voltarei com certeza.",1
Veio errado e ainda cobraram a mais.,0
"Superou minhas expectativas, parabéns!",1
"Péssimo atendimento, não resolveram meu problema.",0
"Tudo funcionou perfeitamente, nota 10.",1
"Me arrependi da compra, fraco demais.",0
"Excelente experiência de compra, com certeza comprarei novamente.",1
"Demorou demais para entregar, não gostei.",0
"Muito feliz com o resultado, obrigado!",1
"Produto com falhas, não valeu o preço.",0
Foi um ótimo atendimento e a entrega foi super rápida.,1
"Muito feliz com o resultado, obrigado!",1
Foi um ótimo atendimento e a entrega foi super rápida.,1
Serviço mal feito e caro.,0
"Recomendo para todos, vale cada centavo.",1
Produto chegou antes do prazo e em perfeitas condições.,1
"Excelente atendimento, fui muito bem tratado.",1
"Excelente atendimento, fui muito bem tratado.",1
Produto veio com defeito e ninguém respondeu meu e-mail.,0
"Me arrependi da compra, fraco demais.",0
"Qualidade horrível, parece de plástico barato.",0
"Muito feliz com o resultado, obrigado!",1
Serviço rápido e de qualidade.,1
O produto chegou com defeito e o suporte não ajudou em nada.,0
Fiquei muito satisfeito com o atendimento e a entrega!,1
"Demorou demais para entregar, não gostei.",0
Produto chegou antes do prazo e em perfeitas condições.,1
"Me arrependi da compra, fraco demais.",0
"Recomendo totalmente, o produto é perfeito.",1
"Superou minhas expectativas, parabéns!",1
"Superou minhas expectativas, parabéns!",1
"Me arrependi da compra, fraco demais.",0
Infelizmente o produto não correspondeu às minhas expectativas.,0
"Não funcionou como esperado, decepção total.",0
O produto chegou com defeito e o suporte não ajudou em nada.,0
"Me arrependi da compra, fraco demais.",0
"Superou minhas expectativas, parabéns!",1
"Péssimo atendimento, não resolveram meu problema.",0
